rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
310,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
311,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
312,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
313,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
314,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
315,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
316,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
317,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
318,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
319,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
320,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
